description,streetName
"Do wynajęcia mieszkanie dwupokojowe w centrum miasta – ul. Kruszwicka, boczna Legnickiej, 15 minut piechotą od wrocławskiego rynku. 

Mieszkanie ok 40m2, odświeżone w tym roku, składa się z salonu, sypialni, osobnej kuchni i łazienki. 9 piętro w bloku z windą (a nawet dwiema), okna na wschód. W budynku do dyspozycji lokatorów jest również rowerownia. Bezproblemowe parkowanie pod blokiem lub na ulicy, zawsze znajdzie się wolne miejsce. Transport publiczny w każdą część miasta, przystanek pod domem - tramwaj, autobus, jest też stacja roweru miejskiego. 

Mieszkanie w pełni wyposażone, gotowe do zamieszkania. Najwygodniejsze dla pary. W salonie kanapa z funkcją spania, regał, szafka rtv, dwa biureczka i praktyczny wieszak na rowery dla miłośników dwóch kółek (może być też na płaszcze na miłośników mody ;)). W sypialni wygodne łóżko 160x200, pojemna szafa i komoda. W kuchni kuchenka gazowa z piekarnikiem elektrycznym. W łazience kabina prysznicowa i pralka. 

Opłaty:
2300 ze wszystkim (w tym czynsz, prąd, woda, gaz, ogrzewanie, internet) plus ewentualna dopłata do rachunków przy znaczącym przekroczeniu prognoz na koniec okresu rozliczeniowego (woda, prąd, ogrzewanie).",Kruszwicka
"Wynajmę trzypokojowy komfortowy apartament w okolicy ulicy Legnickiej (dokładny adres Zgorzelecka 1). Apartament dostępny jest od 9-go Marca, idealny dla 1-4 osób. Idealna lokalizacja dla osób pracujących w okolicy biurowców przy ulicy Strzegomskiej (5 min drogi na pieszo).

Opis apartamentu
1)        Duża sypialnia (z podwójnym łóżkiem)
2)        Mniejsza sypialnia (może spełniać rolę miejsca do pracy)
3)        Łazienka (wanna z prysznicem), pralka
4)        Salon z aneksem kuchennym i częścią jadalną z krzesłami barowymi. Telewizor. Otwarty salon z wyjściem na balkon

Oferta prywatna (bez pośredników), przyjazna atmosfera i dodatkowa pomoc dla osób, które są we Wrocławiu od niedawna.

Informacje dodatkowe

-        Nowy apartamentowiec, nowy funkcjonalnie urządzony apartament 
- W pełni wyposażona kuchnia: zmywarka, duża lodówka z zamrażarką, płyta indukcyjna, piekarnik.
-        Strona południowa zapewnia odpowiednia nasłonecznienie (thermo rolety zapewniają, że w lecie nie będzie za gorąco)
-        Budynek z dala od ulicy, brak hałasu, przy jednoczesnym bardzo dobrym położeniu
-        7 minut tramwajem / samochodem od rynku
-        Bezpłatne miejsca parkingowe na pobliskich ulicach, możliwość wykupienia miejsca na osobnym parkingu
-        Supermarket (2 minuty), Centrum handlowe Magnolia Park (jeden przystanek tramwajem)
Koszty wynajmu
Opłata za wynajem 2600 pln za msc.
Media ok 400 zł za msc.
Internet/tv 50-70 zł za msc.
Kaucja 3000 pln (zwrotna po zakończeniu umowy najmu).",Legnicka
"Mieszkanie w trakcie remontu, 2 duże pokoje. Więcej zdjęć po zakończeniu remontu.

Do wynajęcia w pełni umeblowane mieszkanie w bloku, przy ulicy Sądowej 5 (plac Legionów) we Wrocławiu.
Mieszkanie składa się z 2 pokoi (15m i 16m), łazienki z WC, kuchni i przedpokoju.
Na wyposażeniu pokoju: biurko, lampka, stolik, krzesła, łóżko, szafa
Na wyposażeniu mieszkania: zmywarka, kuchenka gazowa z piekarnikiem, pralka, odkurzacz, suszarka
Możliwość podłączenia Internetu.
Ogrzewanie miejskie.

Bardzo dobra lokalizacja:
Ścisłe centrum
1 km do Rynku
7 minut do Renomy

Opłaty:
2200 zł (czynsz)
500 zł (czynsz dla spółdzielni przy dwóch osobach)
+ prąd i gaz

Wymagana kaucja.
Wolne od zaraz (ok. 19 marca 2019)

Nie akceptujemy zwierząt i osób palących.
Bez pośredników.
",Sądowa
"o wynajęcia mieszkanie na kameralnym, zamkniętym osiedlu Motylkowa/Łubinowa. Mieszkanie usytułowane jest na 2 piętrze. Lokal ma powierzchnię 65m2, na które składają się: salon połączony z aneksem kuchennym (22m2), łazienki (5m2), przedpokój (5m2), pokój (12m2) oraz duża sypialnia z częścią biurową (21m2) na antresoli, która jest otwarta na salon. Do mieszkanie przynależy balkon (3m2). Mieszkanie jest bardzo komfortowe i urządzone z dobrym wykorzystaniem przestrzeni. Myślę, że spełni wymagania nawet wymagających najemców. Jest odświeżone i gotowe do wprowadzenia się. 

Mieszkanie jest w pełni umeblowane. Salon z kuchnią wyposażony jest w meble w zabudowie, zlewozmywak, piekarnik, okap, płyta grzewcza, lodówka i nowa zmywarka oraz stół z krzesłami i rozkładany narożnik. W łazience znajduje się umywalka, WC, prysznic, nowa pralka oraz szafka stojąca i pod umywalką. W sypialni na antresoli jest duża szafa w zabudowie 5-drzwiowa, łózko 160x200cm, półka na książki, biurko wraz z półkami oraz zabudowane skosy – niska szafa 2-drzwiowa. W pokoju jest 3-drzwiowa szafa w zabudowie i przestrzeń do własnego wyposażenia, jeżeli będzie potrzeba to doposażymy wedle potrzeb. W przedpokoju jest wieszak na ubrania, szafki i półka na buty. Na balkonie jest stolik z dwoma krzesłami. ",Motylkowa
"Wynajmę mieszkanie znajdujące 600m od SkyTowera (przy ul. Stysia).
Mieszkanie nowoczesne, przestronne o powierzchni 66m², składa się z 3 pokoi (2 osobnych oraz salonu połączonego z kuchnią), łazienki (z wanną), wc, korytarza oraz dużego balkonu. 
Wyposażone w sprzęt AGD (lodówka, kuchenka z piekarnikiem, zmywarka, pralka), telewizor, częściowo umeblowane. Ogrzewanie miejskie.

Mieszkanie położone jest na końcu ""ślepej ulicy"", w związku czym jest ciche i przyjemnie się w nim mieszka. Usytuowane na 1 piętrze. W okolicy nie ma problemu z miejscami parkingowymi.

Świetna lokalizacja: w pobliżu znajdują się główne połączenia tramwajowe i autobusowe (ul. Grabiszyńska, ul. Powstańców Śląskich). Do Dworca Głównego oraz do Rynku na piechotę jest 20 minut drogi.

Cena 2000 zł plus opłaty (czynsz do spółdzielni - 760 zł, gaz, prąd - przy 3 osobowej rodzinie rachunki wynosiły łącznie ok 100zł miesięcznie). Kaucja do ustalenia.

Zapraszam do kontaktu! :)",Wincentego Stysia
"OFERTA DOSTĘPNA WYŁĄCZNIE W GROSS NIERUCHOMOŚCI
ZAKOŃCZENIE PRAC BUDOWLANYCH W IV KWARTALE 2019 r.
BEZ PCC
ZEWNĘTRZNE, ANTYWŁAMANIOWE ROLETY OKIENNE W STANDARDZIE
WINDA
INWESTYCJA ""AWICENNY""
OGRÓDEK
PARTER
IDEALNA NIERUCHOMOŚĆ NA INWESTYCJĘ
GWARANCJA NAJMU
NISKI CZYNSZ
MEDIA MIEJSKIE
MOŻLIWOŚĆ DOKUPIENIA MIEJSC POSTOJOWYCH W CENIE 25 000 zł / PODWÓJNE 37 000 zł 
Mam przyjemność przedstawić państwu 29,83 metrową kawalerkę zlokalizowaną przy ulicy Awicenny.
Mieszkanie znajduje się na parterze z ogrodem w 3 piętrowym budynku którego planowane ukończenie przewidywane jest na IV kwartał 2019 roku.
OPIS INWESTYCJI:
Awicenny to zespół 6 budynków w zabudowie wielorodzinnej położonych w południowo-zachodniej części miasta – Oporów. Realizacja inwestycji odbywa się etapowo. Pierwszy etap obejmuje budowę dwóch budynków. Osiedle tworzone jest z myślą o osobach pragnących odnaleźć spokojną, kameralną i cichą okolicę do zamieszkania.
Projekt inwestycji zakłada utworzenie 3 piętrowych budynków z garażami podziemnymi. Znajdować się w nich będą 104 funkcjonalne lokale mieszkalne. Komfort użytkowania zapewnią cichobieżne windy zjeżdżające do poziomu -1 gdzie znajdować się będzie garaż podziemny.
Nowoczesna architektura budynków nada inwestycji ponadczasowej elegancji. Zastosowanie wysokiej jakości materiałów budowlanych i wykończeniowych oraz nowoczesnych technologii instalacyjnych wpłynie na wysoki komfort użytkowaniazarówno przestrzeni mieszkalnej, jak również części wspólnych.
OPŁATY i KONTAKT:
Cena mieszkania wynosi 205 000 zł
Jeszcze raz szczerze polecam to mieszkanie, a wszystkie zainteresowane osoby serdecznie zapraszam na niezobowiązującą prezentację oraz proszę o bezpośredni kontakt:
Michał Denisiuk, tel. 668 080 081,
Szanowni Państwo, zawsze dążymy do tego, aby informacje o proponowanych przez nas ofertach były jak najbardziej dokładne i aktualne. Warto jednak mieć na uwadze fakt, iż opis oferty zawarty na stronie internetowej sporządzany jest na podstawie oględzin nieruchomości oraz informacji uzyskanych od właściciela, może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych K.C.",Ibn Siny Awicenny
Mieszkanie przy ulicy Boheterów Monte Cassino,Monte Cassino
"Do wynajęcia umeblowane mieszkanie przy ul. Więziennej we Wrocławiu, przy Rynku i Uniwersytecie Wr. Sypialnia, salon z otwartą kuchnią, łazienka, przedpokój, pomieszczenie gospodarcze. Wyposażenie: lodówka z zamrażarką, pralka, piekarnik zintegrowany z kuchenką mikrofalową, zmywarka, okap kuchenny, kuchenka gazowa. ",Więzienna
"Witam!

Nowe 2 mieszkania w prywatnym domu!
Mieszkanie ma wszystkie niezbędne sprzęty, naczynia!
Ekskluzywny design!
Dom przy ulicy Kutrzeby we Wrocławiu!

Infrastruktura:
ulica Kutrzeby
6,7 km centrum Wrocławia
Galeria Dominikańska - 16 min, 6,7 km, Plac Dominikański 3.

Apartament - 1:
Cena: 1500 zł./m
Apartament 26 m2 (pokój + kuchnia 18 m2, WC / łazienka 6 m2, balkon 2 m2) 
Kaucja zwrotna : 1500 zł.

Apartament - 2:
Cena: 1400 zł./m
Apartament 20 m2 (pokój + kuchnia 14 m2, WC / łazienka 6 m2)
Kaucja zwrotna : 1400 zł.

Czynsz, media, parking w cenie wynajmu!
Wynajm od trzech miesięcy.
Bez dodatkowych opłat!

Zapraszam!",gen. Tadeusza Kutrzeby
"Pokój dwuosobowy o powierzchni około 11 m2 znajdujący się w trzypokojowym, w pełni wyposażonym mieszkaniu przy Al. Pracy.

Na wyposażeniu pokoju są 2 łóżka, 2 biurka wraz z krzesłami oraz bardzo pojemna szafa 3-drzwiowa z lustrem.

Mieszkanie znajduje się parę minut od przystanków Hutmen, FAT, czy Al. Pracy. Łatwy dojazd na uczelnie wyższe, rynek oraz w okolice dworca PKP. Około 9 minut pieszo do Lidla. Bardzo blisko(około 50m od bloku) sklep Eko oraz pizzeria i pierogarnia.

Do mieszkania podłączono internet światłowodowy UPC o prędkości 250Mb/s. Ogrzewanie i ciepła woda miejskie.",Pracy
"FOR ENGLISH: CALL US / SEND US AN E-MAIL / GET IN TOUCH ON WHATSAPP 

DO WPROWADZENIA OD ZARAZ - PIERWSZY NAJEM

Serdecznie polecam do wynajęcia 3 pokoje ( 1, 2 osobowe) przy ul. Tęczowej.

Lokalizacja: 
ul. Tęczowa
Ilość pokoi: 3 
Metraż: 55 mkw. 
Kuchnia: osobna 
Piętro: parter

LOKAL SKŁADA SIĘ Z: 
- Dwóch pokoi 1-osobowych, 
- Jednego pokoju 2-osobowego, 
- Osobnej kuchni, 
- Przedpokoju 
- Łazienki z WC

+ m. postojowe zewnętrzne ( dodatkowo płatne)

OPIS NIERUCHOMOŚCI: 
Mieszkanie znajduje się na parterze w apartamentowcu. Każdy pokój wyposażony w rozkładaną kanapę, biurko, szafę oraz komodę. Przedpokój, wyposażony w pojemną szafę w zabudowie, w łazience prysznic. Mieszkanie w pełni wyposażone, spełniające wymagania najbardziej wymagających najemców

CENA NAJMU: 1200 zł! 
DODATKOWE OPŁATY: 180 zł (opłaty czynszowe + prąd) 

Wymagana kaucja.

Serdecznie zapraszam na prezentację! 

ZAINTERESOWAŁA CIĘ TA OFERTA? ZADZWOŃ, ZNAJDZIEMY IDEALNE MIEJSCE DLA CIEBIE! 

Marta Górecka
Perfect Place 
Tel.kom.: 721 - pokaż numer telefonu - 
50-541 Wrocław, al. Armii Krajowej 8b lok.6 ",Tęczowa
"Mam do zaoferowania pokój dwuosobowy znajdujący się w mieszkaniu przy ulicy Jesionowej.

Mieszkanie po generalnym remoncie, w pełni rozkładowe, mieszczące się w odnowionej kamienicy. W mieszkaniu znajdują się trzy pokoje, przedpokój, łazienka, WC i kuchnia z przestronnym balkonem. 
Kuchnia wyposażona w lodówkę, mikrofalówkę i piekarnik. Dodatkowo do dyspozycji lokatorów pralka, żelazko, deska, suszarka.

W pokoju znajduje się kanapa, szafa w zabudowie, fotel, ława i lampka. 

W pozostałych pokojach mieszkają dwie studentki i jeden pracujący chłopak.

W mieszkaniu dostępny jest internet bezprzewodowy. 

Cena zawiera wszystkie opłaty (woda, prąd, gaz, ogrzewanie i internet)

Poszukuję osób spokojnych, które będą dbały o czystość. Niepalących i bez zwierzą",Jesionowa
"Lokalizacja: Ul. Legnicka, Fabryczna, dolnośląskie
- Ilość pokoi: 3
- Metraż: 56m2
- Piętro: 4

OPIS NIERUCHOMOŚCI: Polecam na wynajem w pełni wyposażone mieszkanie, w świetnej dzielnicy Wrocławia, Fabryczna, przy ul. Legnickiej. 

W skład mieszkania wchodzi:
- Kuchnia: sprzęt AGD w zabudowie (zmywarka, lodówka, piekarnik, płyta gazowa)
- Salon (stół, krzesła, biurko, meble)
- Pokój (rozkładana sofa, szafka rtv, TV)
- Sypialnia (duże łóżko z materacem, pojemna szafa, TV, komoda)
- Łazienka (wc, bidet, kabina prysznicowa, pralka, szafki) 

Mieszkanie przyjazne zwierzętom!!!

ZALETY: Bardzo dobra lokalizacja w centrum Wrocławia. Dobre połączenia komunikacyjne z ważnymi rejonami miasta. W niedalekiej odległości przedszkola, szkoły czy uczelnie wyższe: UW. WST. Akademia Muzyczna, DSW czy WSB. W pobliżu sklepy, punkty usługowe oraz duże centra handlowe; m.in.Magnolia Park. Obiekty sportowe: Hala Orbita, Centrum Rekreacji Spartan.Piękne tereny spacerowe i rekreacyjne w Parku Popowickim i Zachodnim.

CENA NAJMU: 2150zł 
Czynsz administracyjny: 650zł
Opłata za prąd wg. zużycia
Kaucja:3000zł

_
Serdecznie polecam i zapraszam na prezentację
Izabela Braun
Nr licencji 23188
EM HOUSE Nieruchomości
Tel. kom : + 488 - pokaż numer telefonu - ",Legnicka
"Lokalizacja: w pobliżu ul.Milickiej
- Ilość pokoi: 2
- Metraż: 55m2
- Piętro: 1

OPIS NIERUCHOMOŚCI: Mamy do zaoferowania piękne, pełne słońca, w pełni umeblowane i przygotowane do zamieszkania, dwupokojowe mieszkanie wraz z miejscem postojowym, które znajduje się w pobliżu ul.Milickiej, okolice Marino. 

W skład mieszkania wchodzi:
- Kuchnia w aneksie: sprzęt AGD (lodówka, płyta elektryczna, piekarnik, mikrofalówka, pralka, czajnik), stół i krzesła
- Salon (rozkładana sofa, stolik kawowy, fotel, biurko, meble)
- Pokój (dwa pojedyncze łóżka, biurko, szafki nocne)
- Łazienka (wc, bidet, prysznic, szafki)
- Pomieszczenie gospod./garderoba
- Balkon 
- Miejsce postojowe w cenie!!!

ZALETY: Piękna, zielona i cicha okolica. Atrakcyjna lokalizacja. W pobliżu C.H.Marino i Wojewódzki Szpital Specjalistyczny przy Kamieńskiego. Punkty usługowe. Bardzo dobra komunikacja. ",Milicka
"Lokalizacja: w pobliżu ul.Mińskiej - Muchobór Wielki - Fabryczna
- Ilość pokoi: 2
- Metraż: 49m2
- Piętro: 2

OPIS NIERUCHOMOŚCI: Polecam na wynajem komfortowe mieszkanie, w pobliżu ul.Mińskiej, Muchobór Wielki, Fabryczna.

W skład mieszkania wchodzi:
- Kuchnia: sprzęt AGD w zabudowie (lodówka, płyta indukcyjna, piekarnik, zmywarka).
- Salon (sofa rozkładana, ława, meble, TV)
- Pokój (sofa rozkładana, duża szafa) 
- Łazienka (wc, prysznic, pralka, szafki) 
- Duży balkon

Miejsce parkingowe w garażu podziemnym za opłatą.

ZALETY: Komfortowe, ciche mieszkanie. W pobliżu AOW, CH FACTORY, Park Tysiąclecia. Dobra komunikacja.

Mieszkanie przeznaczone dla osób niepalących i bez zwierząt.

CENA NAJMU: 2100zł 
Czynsz administracyjny: 350zł
Opłata za prąd:ok.50zł
Kaucja: 2100zł.
",Mińska
"Lokalizacja: W pobliżu ul.Pochyłej, Stare Miasto, dolnośląskie
- Ilość pokoi: 3
- Metraż: 61m2
- Piętro: 3/winda

OPIS NIERUCHOMOŚCI: Polecam na wynajem mieszkanie, które znajduje się w świetnej dzielnicy Wrocławia, Stare Miasto, w pobliżu ul. Pochyłej. Atrakcyjna lokalizacja, blisko Centrum. 

W skład mieszkania wchodzi:
- Kuchnia: w aneksie, pełny sprzęt AGD w zabudowie (zmywarka, lodówka, piekarnik, płyta elektryczna, czajnik, naczynia) oraz wyspa, krzesła.
- Salon (TV, rozkładana sofa, pufa)
- Sypialnia (duże łóżko z materacem, duża szafa w zabudowie, komoda)
- Pokój (łóżko, duża szafa, 2 komody)
- Łazienka (wc, prysznic, pralka, szafki) 
- Duży balkon
Dodatkowo:
-winda
-ochrona i monitoring

Do mieszkania przynależy miejsce parkingowe w garażu podziemnym za dopłatą.

ZALETY: Przestronne, jasne i przytulne mieszkanie z dużym balkonem. Atrakcyjna lokalizacja w centrum Wrocławia. 10 min.do Rynku. W pobliżu sklepy, punkty usługowe. Bardzo dobra komunikacja.
",Pochyła
"Lokalizacja: Krzyki, Tarnogaj, przy ul. Hubskiej
- Ilość pokoi: 2
- Metraż: 37m2
- Piętro: parter

OPIS NIERUCHOMOŚCI: Polecam na wynajem przytulne mieszkanie, od ZARAZ, które znajduje się w świetnej dzielnicy Wrocławia, Krzyki, Tarnogaj, przy ul. Hubskiej.

W skład mieszkania wchodzi:
- Kuchnia w aneksie: pełny sprzęt AGD w zabudowie (zmywarka, lodówka, piekarnik, płyta indukcyjna), stół, krzesła.
- Salon (TV, rozkładany wypoczynek, stolik, komoda)
- Sypialnia (duże łóżko z materacem)
- Łazienka (wc, prysznic, pralka, szafki)
- Piwnica

ZALETY: Największym atutem jest lokalizacja, piękny widok na Górę Ślężę, 10min. do Dworca Głównego, Wroclavii, w pobliżu tereny rekreacyjne. 

CENA NAJMU: 1700zł 
Czynsz administracyjny: 300zł
Opłata za prąd wg zużycia
Kaucja: 2000zł
_
Serdecznie polecam i zapraszam na prezentację",Hubska
